65,"10:12 PM · Jan 27, 2020",TRUE,China Xinhua News,"Residents chant ""Wuhan, Jiayou"" for their city to hold on despite adversity", 
66,"9:54 AM · Jan 28, 2020",TRUE,#Healthcare,This Wuhan hospital  is being built in just 6 days, 
67,"12:00 PM · Jan 29, 2020",TRUE,RadioNLNews,The first presumptive case of #coronavirus has been confirmed in British Columbia, 
68,"11:58 AM · Jan 29, 2020",TRUE,Pete EVANS,Australia is to conduct an emergency evacuation of its citizens from Hubei province China to Australia's Christmas Island where they will stay for a 2 week quarantine period before re-entering mainland Australia, 
69,"11:49 AM · Jan 29, 2020",TRUE,Simu Liu,coronavirus doesn’t give you an excuse to be a dick to Asian people, 
70,"10:00 PM · Jan 30, 2020",TRUE,Shawna Bruce,Some great insights here about the need to be open and transparent with risk communications, 
71,"10:00 PM · Jan 30, 2020",TRUE,Srbija Evropa,"The Trump administration launched a task force with a brief to protect the United States from the fast-spreading #coronavirus, as the country prepared to evacuate more of its citizens from the epicenter of the outbreak in #Wuhan, #China.", 
72,"12:01 AM · Jan 29, 2020",TRUE,United Nations,WHO is working closely with countries affected by #coronavirus and teaming up with experts to coordinate global surveillance, 
73,"5:15 PM · Jan 30, 2020",TRUE,Atom Araullo,"Now that we have a confirmed case of NCoV in the Philippines, some quick reminders: 1. Don’t panic. 2. Wash your hands frequently. 3. Facemasks will help. 4. Get enough rest to boost your immune system. 5. Stay up to date through credible sources", 
74,"5:38 PM · Jan 29, 2020",TRUE,SCMP News,A man in China left 500 face masks at a police station, 
75,"2:49 PM · Jan 30, 2020",TRUE,The Straits Times,Wuhan virus: Hong Kong unions threaten strikes in push for border closure to curb spread, 
76,"8:06 AM · Jan 30, 2020",TRUE,Donald J. Trump,"Just received a briefing on the Coronavirus in China from all of our GREAT agencies, who are also working closely with China. We will continue to monitor the ongoing developments", 
77,"6:01 PM · Jan 30, 2020",TRUE,𝐆𝐰𝐲𝐧𝐞𝐭𝐡⁷,stay away from crowded places to lessen the risk of coronavirus, 
78,"9:43 PM · Jan 30, 2020",TRUE,Josh Jordan,"Secretary Wilbur Ross on the coronavirus outbreak: ""I think it will help to accelerate the return of jobs to North America.""", 
79,"5:20 AM · Feb 1, 2020",TRUE,chris zappone,Breaking: US bars entry to foreigners who have travelled to China and declares public health emergency, 
80,"6:12 AM · Feb 1, 2020",TRUE,"Russ Taylor",U.S. declares public health emergency over coronavirus, 
81,"6:12 AM · Feb 1, 2020",TRUE,Len Ramirez,"Santa Clara County Public Health confirming novel corona virus case in adult male who recently returned home from China.  He was self isolated at home and came in contact with “very few individuals when he returned home,” according to Health Officer Dr. Sara Cody.", 
82,"6:58 PM · Feb 1, 2020",TRUE,Anna's Birthday,"""The primary objective in an outbreak related to a coronavirus is to give adequate support of care to patients, particularly in terms of respiratory support and multi-organ support.""", 
83,"6:58 PM · Feb 1, 2020",TRUE,Nida Liaqat PTI,"it is only a matter of time until there is a case in the UK, given the ease with which the new coronavirus is now believed to pass from one person to another", 
84,"6:59 PM · Feb 1, 2020",TRUE,Hamza_Shakil,The recently emerged 2019-nCoV is not the same as the coronavirus that causes Middle East Respiratory Syndrome (MERS) or the coronavirus that causes Severe Acute Respiratory Syndrome (SARS), 
85,"11:25 AM · Jan 31, 2020",TRUE,shawn,"Instead of blaming them, let’s pray for China especially those who risk their lives in helping those who are greatly affected by this crisis. Hate the virus, but don't hate the Chinese people. Remember they are still human and they're struggling too", 
86,"3:25 AM · Feb 2, 2020",TRUE,allkpop,JYP Entertainment cancels or postpones its artists' promotions due to coronavirus outbreak, 
87,"5:00 PM · Feb 3, 2020",TRUE,"Bobe'bot",China-based Memory Fabs Continue Normal Operations Currently as Wuhan Coronavirus Has Yet to Impair Global Memory Supply, 
88,"4:31 PM · Feb 3, 2020",TRUE,mes #TeamPinky,TOP Media announces UP10TION Kim Wooseok's fan meeting will be postponed due to the Coronavirus outbreak, 
89,"4:00 PM · Feb 4, 2020",TRUE,"TOI India","India cancels valid visas to Chinese, foreigners who visited China in last two weeks", 
90,"4:00 PM · Feb 4, 2020",TRUE,Global Travel Management,Cathay Pacific and Korean Air will modify their inflight services on flights to China in an effort to curb the spread of the deadly #coronavirus that originated in the Chinese city of Wuhan, 
91,"4:00 PM · Feb 4, 2020",TRUE,Havering Council,If you’ve got concerns about Coronavirus you can find out more on the government website , 
92,"2:08 PM · Feb 4, 2020",TRUE,Man’s NOT Barry Roux ,"The symptoms of Coronavirus are sweating, weakness, diarrhoea and stomach pains.", 
93,"3:49 PM · Feb 4, 2020",TRUE,CHARLI SCTEx,It's Valentine's month and we're at the height of a global flu outbreak.., 
94,"7:35 PM · Feb 4, 2020",TRUE,Nabil Afridi,corona is deadly virus, 
95,"5:02 AM · Feb 6, 2020",TRUE,Mike Grinnell,China managed to build an entirely new hospital in 10 days, 
96,"6:20 AM · Feb 7, 2020",TRUE,Quartz,Coronavirus fears are driving customers away from Chinese districts and businesses all over the world. , 
97,"6:23 AM · Feb 7, 2020",TRUE,Wallis Weaver,"that efforts to wall off China from the rest of the world are already having significant economic effects, depressing energy prices, lowering global growth rate estimates and even raising questions about implementation of the new preliminary U.S.-China trade pact", 
98,"5:51 AM · Feb 7, 2020",TRUE,CNN International,The Chinese doctor who warned the public about the Wuhan coronavirus has died of the illness, 
99,"8:00 PM · Feb 7, 2020",TRUE,"#MamboZuri",Coronavirus Kills Doctor Who Warned of Outbreak, 
100,"8:00 PM · Feb 7, 2020",TRUE,"Winson Tang",Chinese citizens are furious at the death of the whistleblower doctor censored for talking about the coronavirus. His mother said she couldn't even say goodbye, 
101,"6:54 PM · Feb 7, 2020",TRUE,AIRLIVE,ALERT Terminal 3 of Copenhagen Airport closed after Chinese woman picked up by ambulance with Coronavirus symptoms, 
102,"4:13 PM · Feb 9, 2020",TRUE,Xiao Zhan ✿ 赞,Xiaozhan donated much needed medical supplies and ventilators directly to hospital in Wuhan, 
103,"4:00 PM · Feb 10, 2020",TRUE,"Snapzu Tech/Gadgets",All the ways China’s coronavirus outbreak is affecting tech, 
104,"3:55 PM · Feb 10, 2020",TRUE,Financial Times,China struggles to return to work after coronavirus shutdown, 
105,"4:00 PM · Feb 10, 2020",TRUE,"#CAAProtests - World against dark laws",UK declares coronavirus 'serious and imminent threat to public health', 
106,"12:01 PM · Feb 10, 2020",TRUE,China Daily,#Wuhan Tongji Hospital showed their gratitude on Sina Weibo to singer-actor #XiaoZhan #肖战 and his studio for the donation of medical equipment including ventilators. His action has won the praise of Chinese fans online, 
107,"3:40 AM · Jan 22, 2020",FALSE,"Eugene Gu, MD","With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle, Washington, there are definitely more cases than have been estimated. The virus has an incubation time of 8-10 days so people probably traveled internationally without symptoms.", 
108,"1:43 PM · Jan 22, 2020",FALSE,CNN,"The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month. The coronavirus has already sickened hundreds and killed six people in Asia", 
109,"6:16 AM · Jan 22, 2020",FALSE,ABC News,"Washington Gov. Jay Inslee on first confirmed case of coronavirus reported in U.S.: ""The risk is low to residents of the state of Washington.""""This is certainly not a moment for panic or high anxiety. It is a moment for vigilance.""", 
110,"9:57 PM · Jan 21, 2020",FALSE,Frankie,"Based on current information, the immediate health risk ... to the general American public is deemed to be low at this time. Nevertheless", 
111,"3:09 AM · Jan 22, 2020",FALSE,Anne Makovec,"CDC has activated its emergency operations center. They expect more US cases.", 
112,"7:06 AM · Jan 22, 2020",FALSE,sally,"CORONAVIRUS The fearmongering is strong on this one. Do not be afraid. Just chill out and wash your hands and stay home if you're sick", 
113,"3:58 AM · Jan 22, 2020",FALSE,Brian W,"BEWARE! THE CHINA VIRUS HAS LANDED IN US!", 
114,"1:52 PM · Jan 22, 2020",FALSE,Krystal Chia,"My look at how #WuhanCoronavirus is impacting China’s steel sector, as millions of construction workers are set to go home ", 
115,"11:09 AM · Jan 22, 2020",FALSE,chingsquirrel,"Hong Kong, located right next to mainland but surprisingly having 0 case of #WuhanCoronavirus and not imposing any effective preventive measures while the number of cases in China increases by hundred every few hours and other farther countries have confirmed cases as well", 
116,"5:20 AM · Jan 23, 2020",FALSE,CNBC,"“We have it totally under control,” President Trump says after the CDC confirmed the first U.S. case of the coronavirus that has sickened hundreds of people in China.", 
117,"3:45 AM · Jan 22, 2020",FALSE,Lisa Vespasian,"Latest on new coronavirus emerging from Wuhan, China: 6 now dead from the respiratory infection; stock prices of mask companies are rising; a case has been confirmed in Taiwan, which joins South Korea, Japan and Thailand as sites where virus reported. ", 
118,"3:35 AM · Jan 23, 2020",FALSE,CDC,"Pregnant women who get vaccinated pass antibodies to their babies. That means when you get vaccines during pregnancy, you aren’t just protecting yourself—you are giving your baby some early protection too", 
119,"2:35 AM · Jan 22, 2020",FALSE,NYT Health,"Breaking News: An individual in Washington State is infected with the Wuhan coronavirus, the first such case in the U.S. The outbreak, which began at a market in China, has now spread to at least four other countries", 
120,"3:41 AM · Jan 23, 2020",FALSE,sweetromance,This matters because China has had to quarantine 11 million people as CDC confirms first case of Coronavirus in US, 
121,"3:27 AM · Jan 22, 2020",FALSE,Miss Ellen Nkem Chukwueke,"Killer Chinese virus comes to the US, CDC says This is another Ebola, China testing their own biological weapon on its citizens", 
122,"12:11 AM · Jan 23, 2020",FALSE,sally,"This is a man-made, patented virus with a vaccine in the works. Fear sells", 
123,"9:41 AM · Jan 22, 2020",FALSE,Thomas Kline MD,There is no federal dosage limit on opiate pain limits, 
124,"5:46 AM · Jan 23, 2020",FALSE,BLUEJAMZ.COM,China’s contagious Killer virus comes to US: American man his 30s is hospitalized in Washington state with SARS-like coronavirus after visiting Wuhan, 
125,"5:46 AM · Jan 23, 2020",FALSE,Dave Schroeder,CDC testing several people in US for possible Wuhan virus, 
126,"4:17 AM · Jan 23, 2020",FALSE,ABC7 Eyewitness News,CORONAVIRUS UPDATE: Chinese city of Wuhan shuts down all outbound flights and trains after virus kills 17. No one will be allowed to leave the city after 10 a.m. local time, 
127,"5:42 AM · Jan 23, 2020",FALSE,Paige Southwick Pfleger,"The language the CDC uses is actually ""effectively no risk""", 
128,"3:10 AM · Jan 23, 2020",FALSE,Linda Rarey,"Anyone know if chocolate is good for colds?  CDC lists chocolate above rest, vitamin C , and Hallmark movies", 
129,"5:37 AM · Jan 23, 2020",FALSE,Old School SciFi,"tRUmp's 2020 budget proposal recommended 12% cut to Dept of Health & Human Services, 10% cut for CDC. It also called for a $236 million cut to chronic disease prevention & a $102 million cut to emerging and zoonotic diseases.", 
130,"4:54 AM · Jan 22, 2020",FALSE,Marilyn Sarelas,"The CDC is fully staffed, funded, and functioning well?  One of these days we're really going to need a government", 
131,"5:26 AM · Jan 23, 2020",FALSE,Mondo Lopez,"..full info regarding ""2019-nCoV"" is still unclear of severity of illness, including a number deaths has been reported in China. This is a rapidly evolving situation and information will be updated as it becomes available.", 
132,"5:32 AM · Jan 23, 2020",FALSE,NW Rambler,CDC's Vaccine Schedule May Be Harmful To Children, 
133,"2:53 PM · Jan 17, 2020",FALSE,Life’s A Mirage,CDC Admits 98 Million Americans Were Given Cancer Virus Via The Polio Shot, 
134,"1:55 AM · Jan 22, 2020",FALSE,Michael Savage,STOP ALL TRAVELERS FROM CHINA FROM ENTERING THE U.S, 
135,"4:33 AM · Jan 23, 2020",FALSE,Steve Lookner,Current shot of CDC page. Not warning against non-essential travel., 
136,"5:27 AM · Jan 23, 2020",FALSE,Jamie,waking up in Wuhan and finding out you’ve be quarantined in a city larger than New York or Los Angeles with a virus that yesterday “was nothing to worry about.”, 
137,"4:30 AM · Jan 23, 2020",FALSE,WebMD,A California woman can no longer speak or care for herself after using a skin-lightening cream that contained toxic mercury, 
138,"1:04 AM · Jan 23, 2020",FALSE,HHS.gov,Handwashing is one of the most effective ways to prevent the spread of germs, 
139,"5:20 AM · Jan 23, 2020",FALSE,Bingle,Part of NIH/CDC problem. Simplicity allows life, 
140,"3:45 AM · Jan 23, 2020",FALSE,Eunice Yoon,"Residents should remain in Wuhan ""except under extraordinary circumstances,"" according to local government announcement", 
141,"7:14 PM · Jan 22, 2020",FALSE,Ezra Cheung,"The Chinese family of five arrived in Hong Kong via the high-speed rail to take a connecting flight to Malaysia. While the patient stayed in Hong Kong to seek medical help due to fever, the rest continued their journey", 
142,"4:16 AM · Jan 23, 2020",FALSE,shawnxyny,emergency committee has decided to meet again tomorrow to decide whether to declare the outbreak as PHEIC for the need for more evidence, 
143,"5:24 AM · Jan 23, 2020",FALSE,Maggie Fox,China is trying to lock down Wuhan  to try and slow the spread of the new virus. Public health accepted wisdom is that this sort of action is pretty futile, 
144,"1:05 AM · Jan 23, 2020",FALSE,Mantai Chow,"The new estimates are more than double previous estimates the scientists released last week, which suggested 1,723 people were likely to have been infected by January 12", 
145,"11:28 PM · Jan 22, 2020",FALSE,Julia Belluz,"The death toll in the #WuhanCoronavirus outbreak rises overnight, from 6 to 17:", 
146,"10:52 PM · Jan 22, 2020",FALSE,Eunice Yoon,"All people in public places in Wuhan are now required to wear masks, local government says", 
147,"11:45 PM · Jan 22, 2020",FALSE,Middle East Eye,"The US opioid epidemic, driven by a profit-hungry medical and pharmaceutical industry, is still killing tens of thousands of people each year", 
148,"4:27 AM · Jan 23, 2020",FALSE,Shannon's Chronic Journey,"9 dead, over 440 infected! This is serious""The spread of the respiratory virus to Thailand,Japan, S.Korea, Taiwan,& now the US-fueling fears of a broader epidemic,as China enters its busiest travel period of the year""! Can be spread by humans!", 
149,"5:49 AM · Jan 23, 2020",FALSE,Arthur Atkinson,It's only a matter of time before there's a serious epidemic of some kind. This could be the prelude to one. It's no laughing matter and no joke. We must prevent and defend at all costs or many people will die, 
150,"4:43 AM · Jan 23, 2020",FALSE,"Neal Houston, PhD","The Epidemic Response Command Center in Wuhan, China, announced they are quarantining the city amid an outbreak of coronavirus, with plans to shut down the airport and all public transit there", 
151,"5:50 AM · Jan 23, 2020",FALSE,danbrotherston,"That is the font of a murderer, and no I didn't stutter, advocating against vaccines is murdering innocent children", 
152,"4:16 AM · Jan 23, 2020",FALSE,Molecule Boy,"While Iran is using real Chemical weapons to terrorize nations, Nigeria is using Chemical Brother and sister to disturb twitter! The fight has grown epidemic and everyone is a part of the chemical charade.", 
153,"5:49 AM · Jan 23, 2020",FALSE,Concerned Citizen,Everyone on that plane was exposed and everyone they were around since arriving to the U.S. Let’s hope it doesn’t show up in anyone else or it could become an epidemic fast, 
154,"5:49 AM · Jan 23, 2020",FALSE,Arthur Atkinson,It's only a matter of time before there's a serious epidemic of some kind. This could be the prelude to one. It's no laughing matter and no joke. We must prevent and defend at all costs or many people will die., 
155,"5:47 AM · Jan 23, 2020",FALSE,Dougie M,Pandering to folks laziness. No wonder there is a type 2 diabetes epidemic., 
156,"4:16 AM · Jan 23, 2020",FALSE,ASH New Zealand,  Latest research published today in @TheLancetPH  finds no vaping epidemic in NZ, 
157,"4:57 AM · Jan 22, 2020",FALSE,flat earther kitt,jenny mccarthy is deadass responsible for a global health epidemic. she should be sent into space., 
158,"8:42 AM · Jan 22, 2020",FALSE,sally,"WHO calls for emergency meeting on new China virus, as cases spread Maybe next they can call for an emergency meeting on the autism epidemic", 
159,"5:52 AM · Jan 23, 2020",FALSE,"ɪᴀɴ ᴍ ᴍᴀᴄᴋᴀʏ, ᴘʜᴅ","""results derived from our evolutionary analysis suggest for the first time that snake is the most probable wildlife animal reservoir for the 2019-nCoV based on their similar codon usage bias""", 
160,"1:53 AM · Jan 24, 2020",FALSE,First Squawk,CDC IS WORKING TO GET EMERGENCY USE AUTHORIZATION FROM FDA FOR A DIAGNOSTIC TEST TO DETECT THE WUHAN CORONAVIRUS: POLITICO, 
161,"9:35 PM · Jan 23, 2020",FALSE,PYEE,Everyone please take care. This Wuhan virus really spreading like wildfire, 
162,"8:23 PM · Jan 23, 2020",FALSE,Dr. Dena Grayson," #China locks down 2 more cities—including public transportation, markets & theaters—in an effort to contain the #Wuhan #coronavirus. 20 million people live in locked-down cities.", 
163,"8:16 PM · Jan 23, 2020",FALSE,Diane Algas,only special hospitals accept patients in wuhan, 
164,"11:07 PM · Jan 23, 2020",FALSE,CNN,"The global count of confirmed Wuhan coronavirus cases now stands at 622, with 611 of those in mainland China", 
165,"12:00 AM · Jan 24, 2020",FALSE,Sudooboo,"Residents in Wuhan waiting to be treated. Many have been turned away, refuse treatment due to lack of capacity in the hospital, died @ home. Death # released only include those being officially diagnosed", 
166,"1:56 AM · Jan 24, 2020",FALSE,/dev/zero StayAtHome - if out wear a MASK,Wuhan quarantine is for preventing spreading the virus out. Due to long incubation time perfectly healthy feeling ppl may spread the virus. They also cannot be screened and cleared for travel... It's a very difficult situation, 
167,"8:11 AM · Jan 23, 2020",FALSE,Jack M. Posobiec,China had hundreds of people infected by the Wuhan Coronavirus outbreak last year and kept it quiet for months , 
168,"7:58 AM · Jan 23, 2020",FALSE,Public Health England,"CORONAVIRUS: 1/2 We have put in place proportionate, precautionary measures building on those already in place in Wuhan and are closely monitoring the situation. A Port Health team is meeting each direct flight from Wuhan to provide advice and support to those that feel unwell...", 
169,"10:42 PM · Jan 23, 2020",FALSE,Epa 'FSB BOT' Minondas,"If this #coronavirus takes 7-14 days to incubate, how effective is screening via patient temp? Just askin', you see""A post from Wuhan Railway saying that 300,000 people traveled by train out of Wuhan on Wednesday, headed to every corner of the country, was also quickly deleted.""", 
170,"1:55 AM · Jan 24, 2020",FALSE,Mavakaga,Chinese doctor in the city of Wuhan in tears announcing that there are too many cases of sick people, 
